 variables=x,y,rho,u,v
 zone i=          100  j=          100
  0.799999952       9.99999978E-03  0.990266860      -1.48978987E-04  -1.32945743E-05
  0.810000002       9.99999978E-03  0.990260601      -1.27322492E-04  -1.25855340E-05
  0.819999993       9.99999978E-03  0.990253508      -1.06769956E-04  -1.18012567E-05
  0.829999983       9.99999978E-03  0.990245640      -8.75696278E-05  -1.09191642E-05
  0.839999974       9.99999978E-03  0.990236998      -6.97986179E-05  -9.93361118E-06
  0.849999964       9.99999978E-03  0.990227759      -5.35547188E-05  -8.89349576E-06
  0.859999955       9.99999978E-03  0.990218103      -3.90128807E-05  -7.81010021E-06
  0.870000005       9.99999978E-03  0.990208149      -2.62126305E-05  -6.64391882E-06
  0.879999995       9.99999978E-03  0.990197957      -1.52273715E-05  -5.41563986E-06
  0.889999986       9.99999978E-03  0.990187824      -6.19070943E-06  -4.18545369E-06
  0.899999976       9.99999978E-03  0.990178049       9.25511756E-07  -2.90068920E-06
  0.909999967       9.99999978E-03  0.990168750       6.07043603E-06  -1.63659104E-06
  0.919999957       9.99999978E-03  0.990159988       9.31360228E-06  -4.10091957E-07
  0.930000007       9.99999978E-03  0.990152240       1.07396017E-05   7.22369464E-07
  0.939999998       9.99999978E-03  0.990145743       1.04612573E-05   1.72316345E-06
  0.949999988       9.99999978E-03  0.990140617       8.83219946E-06   2.50198605E-06
  0.959999979       9.99999978E-03  0.990137219       6.22112520E-06   2.90457115E-06
  0.969999969       9.99999978E-03  0.990135431       3.24883649E-06   2.75219918E-06
  0.979999959       9.99999978E-03  0.990135550       9.34957484E-07   1.79090443E-06
  0.989999950       9.99999978E-03   1.00000000       0.00000000       0.00000000    
   0.00000000       1.99999996E-02   1.00000000       0.00000000       0.00000000    
   9.99999978E-03   1.99999996E-02  0.989759564       2.56693443E-06  -2.99036583E-06
   1.99999996E-02   1.99999996E-02  0.989758551       5.92992592E-06  -3.37239840E-06
   2.99999993E-02   1.99999996E-02  0.989755690       8.53828988E-06  -1.94214567E-06
   3.99999991E-02   1.99999996E-02  0.989751458       9.19888498E-06   7.35835499E-07
   4.99999970E-02   1.99999996E-02  0.989745855       7.13068130E-06   4.17603133E-06
   5.99999987E-02   1.99999996E-02  0.989739239       1.88948331E-06   8.06982462E-06
   7.00000003E-02   1.99999996E-02  0.989732027      -6.85601344E-06   1.21650482E-05
   7.99999982E-02   1.99999996E-02  0.989723921      -1.91962426E-05   1.62979868E-05
   8.99999961E-02   1.99999996E-02  0.989715755      -3.50861264E-05   2.03707696E-05
   9.99999940E-02   1.99999996E-02  0.989707351      -5.44806026E-05   2.42685965E-05
  0.109999999       1.99999996E-02  0.989699125      -7.72310523E-05   2.79500528E-05
  0.119999997       1.99999996E-02  0.989690900      -1.03096674E-04   3.14132521E-05
  0.129999995       1.99999996E-02  0.989683151      -1.31911846E-04   3.46130037E-05
  0.140000001       1.99999996E-02  0.989675760      -1.63454548E-04   3.75135423E-05
  0.149999991       1.99999996E-02  0.989669025      -1.97495130E-04   4.01204888E-05
  0.159999996       1.99999996E-02  0.989662945      -2.33689134E-04   4.24583050E-05
  0.170000002       1.99999996E-02  0.989657521      -2.71902914E-04   4.45156838E-05
  0.179999992       1.99999996E-02  0.989652872      -3.11835232E-04   4.62888529E-05
  0.189999998       1.99999996E-02  0.989649177      -3.53262003E-04   4.77966096E-05
  0.199999988       1.99999996E-02  0.989646137      -3.95885872E-04   4.90446073E-05
  0.209999993       1.99999996E-02  0.989644289      -4.39552154E-04   5.00347051E-05
  0.219999999       1.99999996E-02  0.989643157      -4.83986194E-04   5.07989098E-05
  0.229999989       1.99999996E-02  0.989642918      -5.29040932E-04   5.13315681E-05
  0.239999995       1.99999996E-02  0.989643812      -5.74435689E-04   5.16025466E-05
  0.250000000       1.99999996E-02  0.989645600      -6.19999249E-04   5.17003245E-05
  0.259999990       1.99999996E-02  0.989648342      -6.65558211E-04   5.15364372E-05
  0.269999981       1.99999996E-02  0.989652097      -7.10892200E-04   5.11824037E-05
  0.280000001       1.99999996E-02  0.989656746      -7.55801739E-04   5.06627002E-05
  0.289999992       1.99999996E-02  0.989662349      -8.00183043E-04   4.99415692E-05
  0.299999982       1.99999996E-02  0.989668965      -8.43723596E-04   4.90095990E-05
  0.310000002       1.99999996E-02  0.989676595      -8.86400638E-04   4.79176197E-05
  0.319999993       1.99999996E-02  0.989684999      -9.27973480E-04   4.67032842E-05
  0.329999983       1.99999996E-02  0.989694238      -9.68330831E-04   4.52894346E-05
  0.340000004       1.99999996E-02  0.989704430      -1.00733142E-03   4.36892515E-05
  0.349999994       1.99999996E-02  0.989715457      -1.04482088E-03   4.19629687E-05
  0.359999985       1.99999996E-02  0.989727259      -1.08066201E-03   4.00767276E-05
